player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,cluster,cluster_prob_max,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"LAZIC, BRANKO",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,16.325252525252527,0,0.9999999998835047,0.9999999998835047,1.1345370377351112e-10,3.0417225706881376e-12,0.0,195.0,0.03,0.074,0.1939999999999999,0.089,0.0,15.3,71.9,0.2327682217547333,42.8,0.131,0.909,67.9,0.389,0.354,57.14,35.42,2.38,25.0,15.48
"MAHMUTOGLU, MELIH",2020,ULK,FNB,Fenerbahce Beko Istanbul,13.68154761904762,0,0.9999999999994724,0.9999999999994724,1.946552697590665e-13,3.3217474364153074e-13,0.0,192.0,0.0069999999999999,0.0559999999999999,0.061,0.114,0.0,3.8,87.8,0.343528388079182,36.3,0.066,0.857,80.2,0.564,0.3279999999999999,63.21,32.84,2.83,17.92,16.04
"TAYLOR, JEFFERY",2020,MAD,RMB,Real Madrid,14.7625,0,0.9758503956915296,0.9758503956915296,2.1137496695594792e-07,0.024149392933503783,0.0,202.0,0.054,0.067,0.114,0.155,1.3,9.4,76.6,0.3116003386960203,43.7,0.2,0.75,67.19999999999999,0.588,0.265,49.0,40.82,17.0,33.0,1.0
"MATTISSECK, JONAS",2020,BER,BER,ALBA Berlin,13.811827956989248,0,0.962342179155096,0.962342179155096,0.03765781459289109,6.252013036795005e-09,0.0,195.0,0.019,0.079,0.2189999999999999,0.113,0.0,8.3,70.9,0.3113273647333592,49.8,0.094,0.875,64.1,0.429,0.359,75.29,15.62,0.0,10.59,14.12
"JENKINS, CHARLES",2020,OLY,OLY,Olympiacos Piraeus,15.875,0,0.999999999991882,0.999999999991882,5.754552123746345e-15,8.1125304581909e-12,0.0,191.0,0.012,0.087,0.255,0.119,0.9,22.1,82.5,0.2204724409448819,64.6,0.085,0.667,60.4,0.677,0.425,56.34,32.5,2.82,21.13,19.72
"OLINDE, LOUIS",2020,BER,BER,ALBA Berlin,15.990666666666666,0,0.9990535849051673,0.9990535849051673,7.23092497480191e-08,0.0009463427855834677,0.0,204.99999999999997,0.083,0.128,0.044,0.152,2.9,8.7,78.4,0.343950637872092,54.4,0.196,0.65,74.0,0.417,0.357,41.18,33.33,7.84,38.24,12.75
"STRELNIEKS, JANIS",2020,CSK,CSK,CSKA Moscow,13.816666666666666,0,0.9969206831666823,0.9969206831666823,0.003079316829784194,3.5337380031808664e-12,0.0,191.0,0.01,0.067,0.258,0.088,0.0,5.0,72.3,0.4414957780458383,51.5,0.143,0.643,61.599999999999994,0.46,0.417,48.98,25.0,4.08,28.57,18.37
"BROOKS, JEFF",2020,MIL,AXM,EA7 Emporio Armani Milan,12.5859375,2,0.9999998374053217,1.625946780373854e-07,1.4371551250448412e-129,0.9999998374053217,0.0,202.99999999999997,0.073,0.14,0.2319999999999999,0.084,12.7,7.4,70.7,0.2383612662942272,108.7,0.22,0.6920000000000001,62.2,0.424,0.385,44.07,26.92,10.17,22.03,23.73
"ALOCEN, CARLOS",2020,MAD,RMB,Real Madrid,13.4,1,0.9999995076506054,4.923493593384707e-07,0.9999995076506054,3.4689007319315967e-14,0.0,194.0,0.01,0.1119999999999999,0.291,0.19,0.9,2.8,50.9,0.5746268656716418,43.0,0.1119999999999999,0.583,49.4,0.515,0.282,36.45,10.26,2.8,45.79,14.95
"RADOSEVIC, LEON",2020,MUN,BAY,FC Bayern Munich,13.814864864864864,2,0.9956263325300804,0.0043570228772172705,1.6644592703107573e-05,0.9956263325300804,0.0,208.0,0.055,0.132,0.129,0.146,1.7,7.3,69.7,0.347451824317715,69.1,0.212,0.6,66.3,0.4579999999999999,0.318,18.64,0.0,5.08,42.37,33.9
"LARENTZAKIS, GIANNOULIS",2020,OLY,OLY,Olympiacos Piraeus,12.423809523809522,1,0.9973676373801259,4.183288011988533e-07,0.9973676373801259,0.0026319442910729667,0.0,196.0,0.019,0.145,0.213,0.149,0.0,12.1,66.7,0.5392870831736298,52.5,0.316,0.76,56.0,0.429,0.3279999999999999,73.42,24.14,2.53,20.25,3.8
"ROLL, MICHAEL",2020,MIL,AXM,EA7 Emporio Armani Milan,14.319907407407406,0,0.9999626029570026,0.9999626029570026,3.73132156068649e-05,8.38273907410931e-08,0.0,198.0,0.012,0.095,0.226,0.084,1.1,8.4,80.0,0.3701141249878762,67.4,0.071,0.889,66.8,0.466,0.435,54.33,18.84,0.0,18.11,27.56
"BOCHORIDIS, ELEFTHERIOS",2020,PAN,PAO,Panathinaikos AKTOR Athens,15.868279569892474,1,0.999999200168067,4.069386029824693e-15,0.999999200168067,7.998319288677725e-07,0.0,196.0,0.033,0.108,0.261,0.168,1.9,9.0,53.0,0.5230560731831272,47.9,0.31,0.775,50.3,0.375,0.298,44.19,12.28,1.55,44.19,10.08
"REATH, DUOP",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,13.321739130434782,0,0.9999260179961478,0.9999260179961478,1.4240577232329624e-40,7.398200385129931e-05,0.0,211.0,0.069,0.113,0.048,0.077,6.7,3.9,106.9,0.3377937336814621,89.6,0.128,0.818,82.8,0.652,0.35,46.51,15.0,12.79,34.88,5.81
"HALL, LANGSTON",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,16.219047619047622,1,0.9999999921074263,7.889570104790903e-09,0.9999999921074263,3.0041519933122615e-12,0.0,193.0,0.0409999999999999,0.086,0.283,0.181,1.0,8.3,53.2,0.6042278332354668,42.0,0.085,1.0,51.7,0.416,0.414,27.36,6.9,5.66,37.74,29.25
