player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"KURUCS, ARTURS",2020,BAS,TDS,Baskonia Vitoria-Gasteiz,4.196031746031745,193.0,0.067,0.027000000000000003,0.23399999999999999,0.11699999999999999,0.0,2.9,40.9,0.381312653678835,-11.7,0.25,0.6,58.5,0.125,0.25,60.0,16.67,5.0,30.0,5.0
"DIOP, ILIMANE",2020,BAS,TDS,Baskonia Vitoria-Gasteiz,6.72037037037037,211.0,0.067,0.174,0.111,0.34600000000000003,9.7,5.5,49.8,0.40176357123174433,2.8,0.353,0.583,47.1,0.368,0.33299999999999996,44.12,0.0,11.76,35.29,8.82
"FRIDZON, VITALY",2020,DYR,ZEN,Zenit St Petersburg,5.360555555555555,195.0,0.042,0.11199999999999999,0.152,0.209,0.0,11.4,68.4,0.33578609182298685,32.3,0.19399999999999998,0.833,58.9,0.5329999999999999,0.312,51.61,25.0,0.0,22.58,25.81
"DELOW, MALTE",2020,BER,BER,ALBA Berlin,8.342028985507246,198.0,0.067,0.059000000000000004,0.20199999999999999,0.11800000000000001,0.0,16.9,60.7,0.3116747741487144,25.3,0.077,0.667,65.8,0.45799999999999996,0.267,38.46,13.33,15.38,43.59,2.56
"FLACCADORI, DIEGO",2020,MUN,BAY,FC Bayern Munich,5.296212121212121,193.0,0.021,0.083,0.319,0.1,0.0,6.0,53.8,0.4342726362466028,29.9,0.185,0.8,53.699999999999996,0.368,0.375,29.63,12.5,0.0,48.15,22.22
"UKHOV, IVAN",2020,CSK,CSK,CSKA Moscow,9.115384615384617,193.0,0.031,0.07400000000000001,0.218,0.109,0.0,7.6,63.2,0.3839662447257383,19.6,0.067,0.25,65.4,0.28600000000000003,0.385,65.0,25.64,6.67,21.67,6.67
"ANTONOV, SEMEN",2020,CSK,CSK,CSKA Moscow,8.501041666666667,202.99999999999997,0.066,0.084,0.142,0.099,4.2,9.9,82.1,0.2587918147285872,48.1,0.11800000000000001,0.5,72.2,0.40700000000000003,0.45799999999999996,47.06,45.83,5.88,31.37,15.69
"SCHNEIDER, TIM",2020,BER,BER,ALBA Berlin,11.23154761904762,208.0,0.048,0.11699999999999999,0.073,0.064,1.8,3.7,71.5,0.3472362075361704,33.9,0.077,0.7140000000000001,83.4,0.36200000000000004,0.295,48.35,15.91,3.3,29.67,18.68
"LACOMBE, PAUL",2020,ASV,ASV,LDLC ASVEL Villeurbanne,11.335333333333333,195.0,0.036000000000000004,0.145,0.24,0.282,2.8,9.9,41.7,0.5028524378050933,26.8,0.24600000000000002,0.5329999999999999,43.1,0.457,0.2,24.59,33.33,8.2,50.82,16.39
"BALBAY, DOGUS",2020,IST,EFS,Anadolu Efes Istanbul,6.69367816091954,185.0,0.02,0.091,0.28300000000000003,0.159,7.1,23.0,72.5,0.2838499184339315,79.6,0.28600000000000003,0.625,49.6,0.857,0.28600000000000003,50.0,50.0,14.29,35.71,0.0
