player.name,season,player.team.code,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,pirPerGame,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage
"LAZIC, BRANKO",2020,RED,33.0,16.325252525252527,2.7,1.3,0.7,0.6,0.0,0.3,1.6,38.9,35.4,90.9
"MAHMUTOGLU, MELIH",2020,ULK,28.0,13.68154761904762,4.1,0.7,0.3,0.2,0.0,0.5,1.7,56.4,32.8,85.7
"TAYLOR, JEFFERY",2020,MAD,32.0,14.7625,3.6,1.5,0.5,0.4,0.1,0.7,2.0,58.8,26.5,75.0
"MATTISSECK, JONAS",2020,BER,31.0,13.811827956989248,3.0,1.1,0.9,0.4,0.0,0.5,2.1,42.9,35.9,87.5
"JENKINS, CHARLES",2020,OLY,34.0,15.875,2.9,1.2,0.9,0.8,0.0,0.4,2.2,67.7,42.5,66.7
"OLINDE, LOUIS",2020,BER,25.0,15.990666666666666,4.3,2.7,0.2,0.5,0.2,0.8,3.0,41.7,35.7,65.0
"STRELNIEKS, JANIS",2020,CSK,26.0,13.816666666666666,4.4,0.8,1.6,0.3,0.0,0.5,3.2,46.0,41.7,64.3
"BROOKS, JEFF",2020,MIL,32.0,12.5859375,2.1,2.2,0.7,0.2,0.4,0.2,3.2,42.4,38.5,69.2
"ALOCEN, CARLOS",2020,MAD,28.0,13.4,3.9,1.4,2.2,0.2,0.1,1.5,3.3,51.5,28.2,58.3
"RADOSEVIC, LEON",2020,MUN,37.0,13.814864864864864,3.4,2.1,0.6,0.4,0.1,0.7,3.3,45.8,31.8,60.0
"LARENTZAKIS, GIANNOULIS",2020,OLY,21.0,12.423809523809522,4.5,1.6,1.4,0.8,0.0,1.0,3.5,42.9,32.8,76.0
"ROLL, MICHAEL",2020,MIL,36.0,14.319907407407406,4.2,1.2,1.2,0.4,0.1,0.4,3.6,46.6,43.5,88.9
"BOCHORIDIS, ELEFTHERIOS",2020,PAN,31.0,15.868279569892474,4.4,1.8,2.2,0.7,0.2,1.4,4.0,37.5,29.8,77.5
"REATH, DUOP",2020,RED,23.0,13.321739130434782,4.8,1.9,0.2,0.2,0.3,0.3,4.0,65.2,35.0,81.8
"HALL, LANGSTON",2020,RED,21.0,16.219047619047622,5.2,1.6,2.8,0.8,0.1,1.8,4.1,41.6,41.4,100.0
"GIST, JAMES",2020,MUN,23.0,21.571014492753623,5.6,3.0,0.7,0.7,0.3,1.0,4.2,47.9,16.7,63.8
"EDDIE, JARELL",2020,ULK,32.0,16.986458333333335,5.9,2.1,0.4,0.3,0.1,0.7,4.2,50.0,44.9,90.5
"MILAKNIS, ARTURAS",2020,ZAL,25.0,18.54533333333333,6.0,1.0,0.7,0.5,0.1,0.4,4.5,48.3,47.0,100.0
"JAGODIC-KURIDZA, MARKO",2020,RED,34.0,18.7093137254902,4.4,2.9,1.1,0.4,0.1,0.6,4.5,38.2,35.1,77.5
"FERNANDEZ, RUDY",2020,MAD,28.0,15.435714285714283,5.5,1.1,1.2,0.5,0.1,0.6,4.5,31.6,34.6,84.6
"RIVERS, KC",2020,DYR,37.0,22.307657657657657,6.1,2.5,0.7,0.5,0.1,0.4,4.5,48.1,35.5,45.5
"TARCZEWSKI, KALEB",2020,MIL,39.0,13.407264957264957,4.0,2.9,0.3,0.3,0.4,0.8,4.6,57.9,0.0,66.0
"SISKO, ZAN MARK",2020,MUN,32.0,17.227604166666666,4.3,1.4,3.3,0.8,0.0,0.9,4.6,47.3,39.2,80.0
"VIVES, GUILLEM",2020,PAM,26.0,18.091666666666665,4.5,1.5,2.3,0.9,0.1,1.1,4.6,61.1,39.6,68.8
"SIMONOVIC, MARKO",2020,RED,23.0,18.63115942028985,5.3,2.3,0.5,0.3,0.0,0.4,4.7,37.1,45.8,71.4
"ABRINES, ALEX",2020,BAR,39.0,18.7017094017094,6.1,1.8,0.7,0.6,0.2,0.3,4.7,44.0,42.3,90.3
"ULANOVAS, EDGARAS",2020,ULK,28.0,19.57857142857143,4.5,1.6,1.4,0.2,0.0,0.8,4.7,51.6,40.0,72.2
"MONIA, SERGEY",2020,KHI,26.0,22.67948717948718,5.0,3.0,1.6,0.6,0.5,0.9,4.7,45.0,40.7,0.0
"SPANOULIS, VASSILIS",2020,OLY,34.0,17.272058823529413,6.4,1.5,2.7,0.6,0.0,2.0,4.7,45.8,28.3,64.4
"HANGA, ADAM",2020,BAR,41.0,15.898373983739836,4.6,2.2,1.7,0.8,0.3,1.2,4.8,47.5,34.3,64.7
"KURBANOV, NIKITA",2020,CSK,39.0,22.053846153846155,4.1,2.6,0.9,0.6,0.3,0.7,4.8,62.0,33.8,71.8
"JOHNSON, JAJUAN",2020,MUN,38.0,14.189035087719295,4.3,2.9,0.3,0.4,0.4,0.6,4.9,48.3,0.0,78.1
"SAN EMETERIO, FERNANDO",2020,PAM,24.0,13.28263888888889,4.9,1.3,1.3,0.3,0.0,0.5,5.0,46.2,36.2,95.0
"MACK, SHELVIN",2020,PAN,26.0,16.476282051282052,6.0,1.2,2.8,0.7,0.0,1.6,5.0,40.8,41.7,74.2
"ZUBKOV, ANDREY",2020,DYR,39.0,16.044444444444444,5.1,2.1,1.1,0.3,0.0,0.9,5.1,60.2,37.7,64.7
"NOUA, AMINE",2020,ASV,28.0,15.527976190476192,5.0,2.5,0.8,0.4,0.4,0.5,5.1,48.5,31.7,76.2
"MICOV, VLADIMIR",2020,MIL,30.0,19.081666666666667,6.1,1.6,1.0,0.6,0.1,0.9,5.4,50.0,45.8,75.0
"CAUSEUR, FABIEN",2020,MAD,28.0,14.108928571428573,6.3,1.1,1.4,0.4,0.0,1.0,5.4,51.4,41.7,65.9
"KARASEV, SERGEY",2020,KHI,28.0,18.660714285714285,5.7,2.0,1.0,1.0,0.1,0.7,5.4,61.7,31.2,87.9
"HARRISON, AARON",2020,OLY,27.0,17.5,6.5,1.8,1.1,0.5,0.1,0.7,5.4,41.5,26.6,80.7
"KAHUDI, CHARLES",2020,ASV,31.0,21.20860215053764,5.6,2.4,0.9,0.8,0.1,0.7,5.5,44.1,39.4,90.6
"SEDEKERSKIS, TADAS",2020,BAS,32.0,16.276041666666668,3.5,2.9,1.1,0.6,0.2,0.6,5.6,56.6,36.7,78.3
"ORIOLA, PIERRE",2020,BAR,38.0,15.016666666666666,5.4,3.6,0.8,0.2,0.3,1.2,5.7,56.9,50.0,58.9
"ANDERSON, JAMES",2020,IST,41.0,15.148373983739836,4.2,2.8,0.8,0.4,0.1,0.4,5.7,54.0,45.1,71.4
"HOLLINS, AUSTIN",2020,DYR,38.0,19.36184210526316,8.2,1.7,0.9,1.0,0.2,0.8,5.8,52.0,36.9,83.0
"HILLIARD, DARRUN",2020,CSK,37.0,19.409009009009008,8.7,2.0,1.1,0.6,0.2,1.1,5.9,44.1,32.7,85.7
"BENTIL, BENJAMIN",2020,PAN,31.0,15.870967741935484,6.0,2.6,0.9,0.5,0.2,1.1,5.9,53.1,36.4,74.0
"SMITS, ROLANDS",2020,BAR,41.0,15.926829268292684,5.5,3.2,0.6,0.4,0.2,1.0,6.0,65.7,39.6,76.7
"KUZMIC, OGNJEN",2020,RED,32.0,13.91875,3.8,3.9,0.2,0.3,0.3,0.5,6.1,54.4,0.0,64.1
"GARUBA, USMAN",2020,MAD,39.0,16.28846153846154,3.9,4.0,0.7,0.6,0.7,1.2,6.1,62.8,26.8,59.5
"DATOME, LUIGI",2020,MIL,37.0,16.49009009009009,7.1,2.8,0.8,0.2,0.1,0.5,6.4,45.8,51.1,89.7
"ZAITCEV, VIACHESLAV",2020,KHI,34.0,19.473529411764705,5.1,2.4,2.4,1.3,0.4,1.6,6.4,51.0,32.5,81.1
"BENDER, DRAGAN",2020,TEL,34.0,19.123039215686276,6.6,3.8,0.7,0.4,0.5,1.1,6.7,60.5,34.5,75.6
"JOKUBAITIS, ROKAS",2020,ZAL,31.0,20.92096774193548,7.0,1.7,2.5,0.5,0.0,1.5,6.8,47.8,38.8,75.6
"DRAGIC, ZORAN",2020,BAS,33.0,17.97020202020202,8.5,1.6,0.9,0.6,0.0,1.2,6.8,51.1,28.4,78.7
